"","Trial_1","Trial_2","Trial_3","Trial_4","Trial_5","Trial_6","Trial_7","Trial_8","Trial_9","Trial_10","Trial_11","Trial_12","Trial_13","Trial_14","Trial_15","Trial_16","Trial_17","Trial_18","Trial_19","Trial_20","Trial_21","Trial_22","Trial_23","Trial_24","Trial_25","Trial_26","Trial_27","Trial_28","Trial_29","Trial_30","Trial_31","Trial_32","Trial_33","Trial_34","Trial_35","Trial_36","Trial_37","Trial_38","Trial_39","Trial_40","Trial_41","Trial_42","Trial_43","Trial_44","Trial_45","Trial_46","Trial_47","Trial_48","Trial_49","Trial_50","Trial_51","Trial_52","Trial_53","Trial_54","Trial_55","Trial_56","Trial_57","Trial_58","Trial_59","Trial_60","Trial_61","Trial_62","Trial_63","Trial_64","Trial_65","Trial_66","Trial_67","Trial_68","Trial_69","Trial_70","Trial_71","Trial_72","Trial_73","Trial_74","Trial_75","Trial_76","Trial_77","Trial_78","Trial_79","Trial_80","Trial_81","Trial_82","Trial_83","Trial_84","Trial_85","Trial_86","Trial_87","Trial_88","Trial_89","Trial_90","Trial_91","Trial_92","Trial_93","Trial_94","Trial_95","Trial_96","Trial_97","Trial_98","Trial_99","Trial_100"
"Signature 1",0.0555575136071743,0.0557400568457515,0.0523253809541405,0.0534062807095186,0.050803059346511,0.055730656159139,0.0565181371003569,0.0587330192883675,0.0486844259102862,0.0551096013133124,0.0581336915258311,0.0587798735858484,0.0574383345778765,0.0546424316457575,0.0564690465892489,0.0535733107341687,0.0565524138819226,0.0546359301628558,0.0592456865453722,0.0552232936383704,0.0548152392743507,0.0597145666956676,0.0557642484222437,0.0558099563474742,0.0548499191947309,0.0603579194131143,0.059455590902555,0.0574405241505978,0.0576941610294254,0.0551920695930264,0.0554179653969659,0.0525286031174476,0.0588907663743724,0.0561579480889504,0.0487715527109123,0.0554292752076618,0.0590916320289578,0.0579248020409403,0.0561214003867118,0.0533320325004948,0.0566105941480799,0.0547066610718917,0.0551568708401743,0.0611755604497046,0.0543556648154489,0.0579294132075972,0.0566704111011619,0.0551413856821761,0.05522740167731,0.0572378059449064,0.0546946137125745,0.0573101841454548,0.0524217952281633,0.0565945098102907,0.0559839382524229,0.0607673627611318,0.0606869824154256,0.060936154870685,0.0564570913225067,0.0534955097779082,0.0513897547004776,0.0568795318709253,0.0521422653849532,0.0526487388745563,0.0586058130506958,0.0553991368827111,0.0584490465933467,0.0529989068987152,0.0560708754259592,0.0542086973587385,0.0534712257033723,0.0549668998965188,0.0557374083872384,0.0568542267251933,0.0610859737645285,0.0494123571473816,0.052052872448039,0.0549231992613977,0.0554801995177214,0.0534149717279494,0.0528079272461723,0.054263278286054,0.0566259214748226,0.0575847209837104,0.0581301335058928,0.0571548983164391,0.0594752640598642,0.052139294414881,0.0537222640471688,0.0566895538755642,0.055758776585027,0.0552014089756566,0.0543917029674556,0.0548519042245577,0.0570400404772878,0.0547589627893474,0.0581883140948802,0.0577838999085125,0.0518800502705932,0.0580091626665511
"Signature 2",0.0344963587687404,0.0349929915183709,0.0335676108727994,0.034899612950183,0.0355818218274234,0.0351992365114917,0.0344711965520821,0.0352483374063408,0.034151854752755,0.035474500265986,0.0357423628438112,0.0353716394365005,0.0365022881376994,0.0353070697890233,0.0354402461035561,0.0351297753366442,0.0349940486649987,0.0349306428740876,0.0354909945681626,0.0352772824455957,0.0345312527810653,0.0355787513165408,0.0358224637858513,0.0354758415251,0.0356033757856934,0.035903300199476,0.0355828060779515,0.0364568526593099,0.0360437109614724,0.0354822919493583,0.0344089966635743,0.0350061456573335,0.0360192503962947,0.035384251604484,0.0350718183845951,0.0354841925309984,0.0356986713402587,0.0349497096539522,0.0351961940999018,0.035401126546493,0.035781257556901,0.0351831410590705,0.0358003976971354,0.0355851003051995,0.0341753576662128,0.0352162904317288,0.0358549578349288,0.035768084510503,0.0353025412963927,0.0349717219339369,0.0354393697555242,0.0366520159379387,0.0355254408226269,0.0344261505417095,0.0357229510190054,0.0354308576660746,0.0352257464129983,0.0354671421405864,0.0346609009068503,0.0356372262393566,0.0351040702812165,0.0356445781472284,0.0346845051476198,0.0350150066083268,0.0354056508946403,0.0358962375535802,0.0355885288959826,0.0344859113343505,0.0352558462149999,0.0352446267347422,0.0361199116399876,0.0351027705457397,0.0349949226245164,0.0350691989259838,0.0359482406211833,0.0356065083177111,0.0357415466624761,0.0347544050376976,0.0354466370852266,0.0344876663640254,0.0352823722210872,0.0355428535739717,0.0351645687522784,0.0348892677999576,0.0349969715887541,0.0350050555855461,0.0354747421639065,0.0350622160756794,0.0337101451713586,0.0343781180134405,0.0349696387190859,0.0356430629633964,0.0357480143963584,0.0351568440243126,0.0358396876137463,0.0343094739090943,0.037247324623043,0.0348410625707887,0.0349620195902832,0.0349482007511974
"Signature 3",0.46602185339309,0.488297045158172,0.479362891255471,0.476317881549581,0.486563714894856,0.477858674470017,0.523540843935938,0.519656158362974,0.491277077099434,0.485030457131807,0.502012435273731,0.499988510529348,0.513762706984891,0.496143450867618,0.513998559783113,0.484499440457044,0.509757931461601,0.493129738349791,0.504190903708806,0.475787674022774,0.47732860045947,0.505457698859316,0.496869283705947,0.483212828599015,0.483727954724016,0.510970757083591,0.493019313782447,0.507860383484631,0.51297493268764,0.502457472736821,0.486372633390629,0.47096358981445,0.520618491671491,0.494144183346312,0.472202937369948,0.491580991281997,0.511951791138321,0.505790891032837,0.478947836171949,0.498918266618389,0.497753050543305,0.477830897776903,0.52355595975346,0.507392738263747,0.467672044856209,0.483898813303452,0.516983563669224,0.498408688622954,0.48561823579611,0.51528259726888,0.480347791448317,0.504394540005589,0.468291822681813,0.491903368182911,0.509576483492817,0.500442931503542,0.516316324527526,0.494994864426099,0.492677689757299,0.491930776177313,0.483205130104475,0.521804562808324,0.469362191532421,0.493882721164707,0.503848188224198,0.488002831100339,0.523053624129754,0.509274287968436,0.488278799247094,0.491523239715233,0.489454724427333,0.477782501642714,0.48455489354756,0.506471806296682,0.502481611551904,0.482073232050139,0.499219375307934,0.463248713023764,0.482534064077798,0.488091039306875,0.492355079080534,0.495354226823586,0.523839381486398,0.499701750859228,0.506130786891708,0.483645870355794,0.527295368961853,0.479067935719143,0.486340504706153,0.478825399089899,0.506104036783299,0.492564344504506,0.512569432978013,0.491223960200427,0.500009605768708,0.473949546143834,0.526215937112396,0.497835345019253,0.481074825069271,0.526885395385911
"Signature 4",0,0,0,0,0,0,0.00068211940370678,0.00728715962015835,0,0,0.000743984094327322,0.0033076480613067,0,0,0.00572742253888472,0,0,0.000718943629271233,0.00742310432589308,0,0,0.00488041712448117,0,0,0,0.00413125563853261,0,0,0.00320980078301696,0,0,0,0,0.00180478611196604,0,0,0.00784180998112019,0.00404753537100813,0,0,0,0,0.0017896053644207,0.00095247326422509,0,0,0,0,0,0.00584680939492581,0,0,0,0.00243369827584117,0,0.00284414861808178,0.00369258544088247,0.000636439774105727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235610167999323,0,0,0,0,0,0,0,0.00479291541853319,0,0.00124489241043023,0,0,0.00152117119271122,0,0,0,0,0,0,0.00169588106933978,0.00183662102393888,0,0.00301023497803318,0,0,0
"Signature 5",0,0.0374757386889874,0,0,0.0281687474761999,0.0213015056436593,0,0.0124186179791433,0.00151748286892896,0.0373977040518109,0,0,0.0207057458360338,0.0187714926239023,0,0,0.0206719097077747,0.0091631195820694,0,0.0338390895854511,0.0290096048131491,0,0.0320316079061477,0.000533245764495285,0.0403615595784369,0,0.0312809021378641,0.0165895523575804,0,0.0249855343907155,0.0192573817077147,0.00155691769659013,0.0138360229683932,0,0,0.031369357094117,0,0.0043064406699266,0.0326009386661543,0.0282502806950327,0,0.0222338141803213,0.00631938959575237,0.0121963965147569,0.0198729205962172,0.0126695854626789,0.00375531436830294,0.024097753817131,0.0305514511184398,0.00508715784946109,0.0382590103456204,0,0.0159911989226148,0.0144593403433703,0,0.0167220883874321,0,0,0.00935910325877532,0.036416344250021,0.00647453474302642,0,0.00339419979815967,0.0314208708900316,0.000486051369211305,0.0344161331707765,0.0104801169276362,0.0141650828128856,0.016856389881021,0.0245860943266995,0.0337072881257656,0.0137903439483912,0.0336923758889311,0,0,0,0.0127428495778089,0.0123762196496643,0.0336463749796991,0.0330766364346273,0.013250169325817,0,0,0,0,0.0286168655758833,0.00280483962621756,0.0346405853330353,0.0278001108598436,0.00565589746113759,0.0262563348176287,0.0189392282749208,0.0157102156263976,0,0.00690787704298319,0.0311734663584773,0,0,0.00198097237387169,0
"Signature 6",0.00174453687500989,0,0.00445230025798979,0.00522770212667074,0,0.000898708129768476,0,0,0.00830835460046223,0,0,0,0,0,0,0.00239340967647176,0,0,0,0,0,0,0,0.00292534705209878,0,0,0,0,0,0,0.00259658038273361,0.00644239286818531,0,0,0.00792110857170963,0,0,0,0,0,0,0.00204927049533199,0,0,0.00250311783108728,0.00198300809133764,0,0,0,0.00026980881209335,0,0,0.0044648205445921,0,0,0,0,0,0.0060848598077953,0,0.00907499986387356,0,0.00146838163439028,0,0.00261309319863643,0,0,0,0,0.000278287398099244,0,0,0,0.00017701237030807,0,0.00915554103376652,0,0.00253271409601985,0.00142337464220894,0.000644971258505901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142190508060946,0,0.00105274065006649,0,0,0,0
"Signature 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signature 8",0.0816073621942104,0.0519294041223157,0.0779630983580872,0.080887628769533,0.0547272335117363,0.0626287441258441,0.0389460655113631,0.0320852027084792,0.0709613732804976,0.054759471458187,0.0544293412192632,0.0324836012439164,0.0474855550091392,0.0627915445440596,0.0224170737108121,0.0827370459119138,0.0333128378825925,0.0385414227296581,0.0422806285525783,0.0672018243321745,0.0665866917290846,0.0447930869018417,0.0518041436477227,0.0747862963033784,0.0497485786848821,0.0445171232199912,0.055232993290534,0.0519084749899678,0.0303354729950296,0.0450067528897854,0.0645227441465057,0.0888653247377361,0.0427043361255583,0.037177141391512,0.0827922480475385,0.060781236726799,0.0363419090813678,0.0310206064744442,0.0619229531390615,0.042579914704341,0.0410558820527771,0.0729012419267571,0.0347120042109352,0.0331639793425951,0.0629142670607496,0.0593745622235154,0.0490435732556461,0.0596791014005867,0.0528079523549786,0.0229671152958962,0.0627182213083999,0.0394145879122695,0.0708740641089193,0.0382681629059806,0.0631555888641337,0.046308697685166,0.0350816965375549,0.0435079178508789,0.0673003146530648,0.0549060874996108,0.0776935876815395,0.0445356475965703,0.0720771394637023,0.0509211381190581,0.0658239526801251,0.0508820093474231,0.0371562173231833,0.0453314328120529,0.0646226861015565,0.0658150653057525,0.0512452172389291,0.0689802442491151,0.0539423668587512,0.0356020936808757,0.0553063959358527,0.0813690109982291,0.0504447285239931,0.0760345700963584,0.0652357795253777,0.0566425376848675,0.0402793336252326,0.046335387079928,0.03416915000264,0.0462124983129816,0.0473201379701085,0.0468796140626163,0.0347804155238627,0.0525895526250926,0.0630787759279458,0.0673791519130651,0.0496992683724117,0.0682605860325408,0.0364635196893789,0.0489988614669537,0.0406784244297471,0.0614501025095693,0.0309698166555634,0.0531497846966055,0.055366673520615,0.0339082541289093
"Signature 9",0.051872235578255,0.0612754954181039,0.0458230519922831,0.0509883639772204,0.0596090367400458,0.062869734550294,0.0475151029536205,0.0555428664351843,0.0501548114917627,0.0661430536708288,0.0784274467576905,0.0751978391034618,0.0520030670515269,0.0577547254942622,0.0659091625363864,0.0562320088338129,0.055675497654302,0.0741510374714433,0.0770909894317906,0.0622479650576121,0.0633393641821059,0.0713352555812966,0.0622859322829951,0.048183276789936,0.0600077220294482,0.0684260097264236,0.0558934975748566,0.0521939158230898,0.0690095710984979,0.0615306709101964,0.057103668993784,0.0565976144374963,0.0448758974256411,0.0774355475291354,0.0605671807839448,0.0597991066571549,0.0697870702498324,0.0555934931578534,0.0604873780781517,0.0624762462180452,0.079819649257316,0.0570283581252922,0.0580207924147434,0.0711855810318401,0.0610674327341229,0.0600821642179977,0.0539654879455625,0.0600971259687161,0.0705951528879836,0.0619726514564574,0.0572747747040274,0.0709950456367156,0.0560082573403207,0.0650011407633153,0.0515042513794808,0.0622816195127152,0.0530744988876363,0.0799361720970462,0.0565475610777523,0.0530522726663251,0.0505902309475332,0.059599189077038,0.0585862677217816,0.0665612933797738,0.0527347199494827,0.0686105633173952,0.0473229555726426,0.0613368986720947,0.0610238424862574,0.0538990313722544,0.0635213035646709,0.0613871421629872,0.0675748230550907,0.0741821224465766,0.0736008278275465,0.0464524423495347,0.066859808637637,0.053765923190846,0.0614776595926553,0.0514363841582139,0.0582507184135938,0.0765252811355759,0.0607283127983417,0.0808915853404956,0.0733560811126966,0.0714590361749557,0.0556527359749743,0.0626522316588605,0.0545745114191629,0.0593937130409344,0.0490382123263708,0.048416731489495,0.057371221224398,0.0792500899857283,0.0719197255712679,0.0593155242793372,0.0553139606780967,0.0604071210082926,0.0658523515999818,0.0452516774689311
"Signature 10",0.00914073702601188,0.00953947931600537,0.0103342343676653,0.00905596221086432,0.00866297433186011,0.00902368796041431,0.0111089886444444,0.0104611806247794,0.01185457485971,0.00887527600933742,0.00744278822466452,0.00754449969688436,0.00985533051195407,0.00913542352281002,0.00860226441300067,0.00897853630032525,0.0100542529421532,0.00902240800723075,0.00875314712444188,0.0080534441409999,0.00890980737503192,0.00869481033183689,0.00892081289588216,0.00998333690270119,0.00927917314841901,0.00915671133954801,0.00912423267950146,0.00931556898939139,0.00684692102959565,0.00960801322409773,0.00912042520274836,0.00858782218824314,0.0105240081873884,0.00840018229713815,0.0094837919472485,0.00879519724623348,0.00912130005834372,0.00905637088068453,0.00837030307311095,0.00953278478875265,0.00808147870454626,0.00898319251648973,0.00995370896287129,0.00866594267265575,0.00961825520407197,0.00916870026217235,0.0094401945061028,0.00942724007263037,0.00787757875612288,0.0098143786281932,0.00929268399894626,0.00836920723347015,0.00926996569358956,0.00989812129127135,0.0105864840438061,0.00882896202820282,0.00819399201473447,0.00674336371687766,0.00887204024623101,0.00999595767104555,0.00866090182436193,0.00976303424633418,0.00921833365717231,0.00899772614498014,0.00916650719627016,0.00829735896112377,0.0107554581019505,0.00924023409573665,0.00942294120474771,0.00911273583958824,0.0084509343172482,0.00904435268998427,0.00861438862757152,0.00973248875522915,0.00832902876837047,0.0105815212890043,0.00877250328335879,0.0091370969289399,0.00852695429555918,0.0108276165170534,0.00988616089861114,0.00898237060287056,0.011035081233174,0.00826112341983085,0.00762488066887222,0.00850290562460717,0.00996535099647581,0.00919574957770941,0.010225106890108,0.0101356108117378,0.0102637153698771,0.00927410421933244,0.00976467377893626,0.00880226139970662,0.00897692987040098,0.00917022382389563,0.010820390644833,0.00785248908117548,0.007608059166668,0.0107021335496529
