"","Trial_1","Trial_2","Trial_3","Trial_4","Trial_5","Trial_6","Trial_7","Trial_8","Trial_9","Trial_10","Trial_11","Trial_12","Trial_13","Trial_14","Trial_15","Trial_16","Trial_17","Trial_18","Trial_19","Trial_20","Trial_21","Trial_22","Trial_23","Trial_24","Trial_25","Trial_26","Trial_27","Trial_28","Trial_29","Trial_30","Trial_31","Trial_32","Trial_33","Trial_34","Trial_35","Trial_36","Trial_37","Trial_38","Trial_39","Trial_40","Trial_41","Trial_42","Trial_43","Trial_44","Trial_45","Trial_46","Trial_47","Trial_48","Trial_49","Trial_50","Trial_51","Trial_52","Trial_53","Trial_54","Trial_55","Trial_56","Trial_57","Trial_58","Trial_59","Trial_60","Trial_61","Trial_62","Trial_63","Trial_64","Trial_65","Trial_66","Trial_67","Trial_68","Trial_69","Trial_70","Trial_71","Trial_72","Trial_73","Trial_74","Trial_75","Trial_76","Trial_77","Trial_78","Trial_79","Trial_80","Trial_81","Trial_82","Trial_83","Trial_84","Trial_85","Trial_86","Trial_87","Trial_88","Trial_89","Trial_90","Trial_91","Trial_92","Trial_93","Trial_94","Trial_95","Trial_96","Trial_97","Trial_98","Trial_99","Trial_100"
"Signature 1",0.117088603576212,0.111371831261065,0.116626378044647,0.111888348582061,0.106325746514059,0.116717627300645,0.105969507987158,0.116206437899801,0.107485790264111,0.114033558729611,0.111670935760835,0.102724942740984,0.11251028027324,0.107443477965443,0.100427402563038,0.114050237917629,0.118217632256795,0.120989711551464,0.105250208278977,0.109599485902873,0.111149061602809,0.104970456891601,0.116935529647262,0.111308171779013,0.109365238562567,0.113836223978981,0.110850743388508,0.104184813311331,0.10610483561663,0.113405641266856,0.110548658638352,0.120638117116408,0.115607350316116,0.107973064929742,0.110308286870674,0.114137065985897,0.116814506126698,0.11375676239534,0.110880261945539,0.11566481342736,0.115222830613379,0.111190543350876,0.108293495648362,0.104430139955289,0.114932492617548,0.111274673914074,0.119979907076536,0.111003862495582,0.104980521669796,0.110098293853946,0.117778598865886,0.115437507967433,0.111008495875241,0.102546326831991,0.116462458618934,0.103479205435786,0.105994876646468,0.10499711265268,0.106457008433069,0.106217263592575,0.119302454509351,0.109142617874283,0.117445139933643,0.107559133224799,0.101966437976915,0.116475171529472,0.114710187346711,0.10665463942718,0.112067712270376,0.112807757340585,0.10536128043405,0.113382723518481,0.104877228913247,0.114795038387285,0.116572288667408,0.113326056276247,0.119404920886319,0.11282536113548,0.108455483541804,0.110536850115508,0.112622050474202,0.107825997641596,0.100689294417049,0.111545691215476,0.115189632903777,0.11015319033936,0.113192337207901,0.113975009371004,0.10935080152927,0.113610827516817,0.100715888058269,0.113729644162596,0.115047142964113,0.105585315298348,0.11198602674316,0.101351618264272,0.112070802443633,0.1124181038505,0.114366026805731,0.103027013309351
"Signature 2",0.118983188829624,0.118226796849774,0.12093610466184,0.121081619404838,0.117902361457362,0.119841633400032,0.118593862370161,0.120777482938703,0.121230965604963,0.120044503760834,0.119916044334113,0.121372474202638,0.118860019858517,0.118596473876045,0.118350021515991,0.121441170529261,0.121450981118939,0.120306048682364,0.11793622281737,0.117941899823252,0.118047955786482,0.120042992963263,0.12031502313716,0.119675434211391,0.121017508253582,0.118399690546208,0.120471868761218,0.118938943743202,0.118249914430287,0.121665018701668,0.118798855685369,0.120148812806985,0.118832480891521,0.119849649245208,0.119345965904836,0.119254003182041,0.120889469763428,0.118270762866994,0.120758826131167,0.118901519279588,0.118950901502323,0.119772571826382,0.119613214907814,0.117637433621892,0.120726116082443,0.1197218707296,0.121498019803771,0.120230987627415,0.119213148961937,0.118293578240882,0.120461045551852,0.119536188420283,0.11858118262843,0.12107435964342,0.121389355391171,0.12013032406582,0.120312210683101,0.118647866578229,0.118293262632782,0.118738335278596,0.120747985670264,0.117737866837686,0.118484897229733,0.119131911061947,0.121225018295945,0.119705180375715,0.118617447255701,0.118245401218037,0.12047855762693,0.121093645697758,0.119226692848154,0.118126167652636,0.117631850275306,0.119063009607996,0.120599395194639,0.120900227884511,0.120216848620415,0.121254510618898,0.119457641268668,0.120489228612794,0.120574207185792,0.119015484043141,0.119900071326643,0.118982525275686,0.11981845511563,0.117448317792027,0.119616594936236,0.119388182227641,0.117986577638503,0.119369137754221,0.120285444852023,0.119913797893486,0.119372638537338,0.118744306925812,0.117656814401059,0.119982441631974,0.119049820014844,0.122160143951938,0.119274071559776,0.11858266009245
"Signature 3",0.173527202021378,0.190874889990459,0.180097233629174,0.177773462674446,0.193437709234362,0.17951718313198,0.174498957423726,0.178086328121827,0.174415677363546,0.178586378862509,0.178083642167131,0.160753984282213,0.193484508981962,0.174578601644377,0.177522701751509,0.176021533735007,0.177995802374863,0.183330015068368,0.184422645137249,0.189441166403158,0.182028944780081,0.184270073437279,0.16860358847955,0.169605604443472,0.182339975477459,0.188917686503304,0.183310889723539,0.174251438541114,0.185474843528955,0.174529220619313,0.180072537971413,0.178967359279181,0.183896798849181,0.171611200584012,0.170481615050693,0.171933378536636,0.162994280620454,0.156734820211375,0.175947244938578,0.18615987507749,0.185851487744866,0.174887604806204,0.142537656325524,0.179810310547139,0.180705303900566,0.18210766588907,0.182939680910454,0.184976481143174,0.154415296349481,0.174685876798117,0.178831670421384,0.168283670018172,0.177032105118378,0.157411011842797,0.167719750452532,0.156614139631347,0.166865095091856,0.191150029808733,0.173042626342514,0.191101288474586,0.177133114855255,0.172675079600421,0.180594794895724,0.17366268597494,0.158604254274553,0.187695472597751,0.171705102014844,0.183841243251217,0.172956902761948,0.17665268588753,0.176049694764088,0.173129212386564,0.182609303201381,0.189651581143258,0.18709725401726,0.166887377594862,0.177805601583403,0.176679009081907,0.180369100940474,0.169419625580598,0.177267013450615,0.159893922747631,0.139552895205348,0.174643855220073,0.174291347873302,0.183767217472835,0.174866562248735,0.183006352185317,0.179124544697873,0.192247426720913,0.173692459907377,0.173883516401911,0.174883460185527,0.180003471481305,0.187860700142468,0.159156239895206,0.195275839366439,0.182559069062445,0.177052186204392,0.173061072980868
"Signature 4",0.00978768343744435,0.00164681338050952,0.00718572250501538,0.00956419583561088,0.00021949276373343,0.01265804572512,0,0.00755595932273811,0.00546807488117534,0.00421841821598724,0.00208980067676784,0.00865875681049231,0.00442722635214321,0.00729964159117371,0,0.0107092019690889,0.0150099245745648,0.0158159758085634,0,0,0.0026722867617629,0.00251441893875553,0.00627144764004619,0.00508978655535676,0.00936662990069642,0.00587466919568615,0.00114760898251173,0.0028250513109077,0,0.0126980563292515,0.000396897919183397,0.00591633580115054,0.00855146247981136,0.00307304849488671,0.00100560793549703,0.00317879998981635,0.00888729529978647,0.005363551592718,0.00116295410373345,0.00555499495953644,0,0.00276805717025738,0,0,0.0115763210520855,0.00857736158687079,0.0119672285483251,0,0.00243774107624933,0.00305820426348871,0.00492681524883117,0.000287784415765901,0,0.00450904841788002,0.0163454682515997,0.0045046754119401,0.00147871954558651,0,0.00150435963129498,0.00247048653811434,0.0116054568764756,0.00375567470193517,0.00777371287424201,0.00141297735742133,0.00658791477268118,0.0127532305916834,0.00116983555292987,0,0.0113040168121134,0.00470337308241837,0.00149920107481115,0.00581613077927703,0.00225938729317252,0.00856670144144055,0.00911073864128824,0.0141629809530349,0.00665557779777844,0.00740000305418636,0,0.00642611799394614,0.00893250622084969,0,0.0111588533645579,0.00604109536026722,0.0134796644852345,0.000652950418451826,0.0119041159000939,0.00440766241559399,0,0,0,0.0086217456107142,0.00590049503914862,0.000104687138528057,0.00163058423076444,0.000695807672934572,0.0015589209440896,0.00913647469570872,0.00246914555737627,0
"Signature 5",0.0938107015093637,0.0367542459651747,0.0965934310498808,0.100364956306069,0.0439364525216461,0.0906703833161631,0.0638425102311172,0.13576746215824,0.1372519151088,0.0746260598206933,0.0918656062274266,0.117106829264286,0.0376781370030546,0.0669517096527501,0.0463274071106996,0.118045951055741,0.116220553641531,0.0969969807200972,0.0377365867805727,0.0422459352061986,0.0503339629023881,0.0652530635229237,0.121951319656585,0.107074293109807,0.0935874514113016,0.0487475456569777,0.0766023452386764,0.0851644315370515,0.0394637481496211,0.113959961765884,0.0653668195451342,0.12198663678561,0.0591733186329233,0.0726300206411939,0.0793081256377688,0.0954403542650901,0.158330670740354,0.116527916936795,0.0986553435251035,0.0506612838806605,0.062500351856709,0.0815529183600004,0.155812260901579,0.0404026914787867,0.0854062573865181,0.104822810454622,0.112985401858118,0.0556519323359694,0.122986813310779,0.0580300450993377,0.0869823639456906,0.119179258536063,0.0536848188662118,0.105439106661563,0.146012499741777,0.123395377438146,0.115588258021185,0.0417260333475244,0.0580530883418005,0.0408577048872459,0.111239317151942,0.061478622702352,0.0622368174910775,0.0660910625837053,0.136770335076872,0.0555206449164709,0.0823912898874644,0.038359416264999,0.0923140949972774,0.0913037735878107,0.0756162091594615,0.069322161655646,0.0436424333276739,0.0508121736039967,0.0893608187020448,0.14385317361943,0.099857138607332,0.130293734025402,0.0635207569804356,0.112811234334308,0.0835000516540947,0.0919595011474437,0.138304665764517,0.0812610034922691,0.099042092753529,0.0440521387246189,0.067442547041293,0.0528656008824512,0.0516890518933914,0.0414784407553087,0.0991726779442601,0.0823734113529078,0.070103794428034,0.0561970578132684,0.0490714385511858,0.0966735899817355,0.050198210201601,0.112681647234213,0.094222982118456,0.0713839122511002
"Signature 6",0.0179220647531368,0.0381721184327943,0.0217093816658635,0.0321675866711099,0.0442026232536602,0.0245794830539801,0.0419800219971416,0.0226279568118706,0.0355030802141258,0.0330799093765319,0.03470084027147,0.0400739928914043,0.0358733948033422,0.0370191159369047,0.0525575414126311,0.0302968694955103,0.0239206968098799,0.0209291972440698,0.0467930706621761,0.0391418447200821,0.0368351752266565,0.0436999870406989,0.0178214916030023,0.0313116906414796,0.0361114704702449,0.0350775784696165,0.0342791534632274,0.0474145980194943,0.0436942507918766,0.0288132172213918,0.033585498607909,0.0115864220681206,0.0303022960078756,0.042408973069875,0.0355893519474765,0.0193251975685089,0.0168224716357542,0.0302627199262724,0.0323407122725868,0.0331269923935188,0.0289910277177872,0.0301978972748138,0.0218048686873222,0.0477381157649742,0.0296134948573311,0.0314304412088006,0.0166095644703533,0.0383568280488917,0.0382988482772827,0.033847765473692,0.0243472984932473,0.0176415710777861,0.0342412046060532,0.0414313190040054,0.0207875902136233,0.0409521492521853,0.0396677326629703,0.0436667318370431,0.0415694289599092,0.0422629035801679,0.0238611600457233,0.0342475853480776,0.0258465741881598,0.040218536232436,0.0425755709039232,0.0289571189615946,0.0311457443566737,0.0445852284088423,0.0332913911061716,0.0309882639381005,0.0400595202901446,0.0323523225828953,0.0454839223485335,0.0294783292352623,0.0265079340702185,0.0222858651258348,0.0158873505124446,0.0268617092672558,0.0406015113178264,0.0280184213761969,0.0308551699985883,0.0336185930198178,0.0453455435204684,0.0348683632808208,0.024034038835038,0.0421260554891789,0.0282189118689007,0.0323305133238473,0.0390611044648374,0.0375731136759645,0.0496495452729004,0.0328136802919513,0.0265153893828743,0.0448752824627404,0.0333984974543325,0.0456910040284462,0.0341706533355319,0.03182336235484,0.0275532323118404,0.0445449542430038
"Signature 7",0.00164793070497382,0.000189753022380841,0,0,0.00394798218890741,0.00011639153885028,0.00312490162632509,0,0.00338145360174334,0.00245502687132375,0.00217449453664487,0.00366398538528402,0.00135441509890961,0.00136640743853977,0.00211625576640513,0.00231874016241691,0,0.000264543457993749,0.00277025856827517,0.00306947174434482,0.00226991626009428,0.00245977569779392,0.00157151413055367,0.000590158097365703,0,0.00116257069737534,0.0024966291384735,0.00190974687860486,0.00266742152413253,0.000152510489906867,0.00266742913866571,0.000541859826089207,0.00165820143183271,0.000149326604390616,0.00205399644434466,0.00297694115328224,0.000460836794602406,0.00376790456343154,0.00228944989519169,0.00152693710633905,0.000354696423301359,0.00194584014141951,0.00217223127134859,0.00409999722034964,0.00181542932547762,0.00249234315541605,5.71923980141009e-05,0.000702708354248703,0.00180670699448538,0.00181134341046686,0.00138345269971491,0.00340122947283652,0.00215196282261524,0.00229315028088324,0.000585375827483348,0.00233666982086688,0.00142035050070259,0.00228460305565888,0.00123109252807626,0.00130016669556549,0.00153507051923336,0.00210649308282828,0.000538557115204843,0.00303217557056166,0.00133150536760613,0.00105590460442946,0.00266011863700873,0.0021737394326595,0.00294858657236702,0.000211601995324371,0.00196910243232498,0.00334936794179981,0.00297476881721643,0.000962048540791242,0.00170235078031023,0.00242375957400456,0.000913178322791109,0.000552520650601217,0.00435011244239042,0.00254257070897499,0.000798089110800695,0.00116273411445374,0.00233131687888888,0.00304525804636769,0.00163431503301182,0.00282758741501295,0.000738106703167508,0.000763471381534244,0.0023730067655844,0.00167690685485419,0.00326955616237273,0.00113225409275913,0.0020582058682764,0.00172767600220113,0.00260095829078395,0.00121832023177065,0.00271188391964306,0.000277826081466897,0.000803210796149819,0.00232287827218392
"Signature 8",0.129726869851949,0.148992462873772,0.126981520263108,0.114741972814289,0.145684139172699,0.117630843912808,0.146202456395468,0.117225684454002,0.120289417614601,0.148259906097133,0.123043121241891,0.126473905675778,0.142919488513574,0.145533996591677,0.156228534348808,0.114189146947065,0.11073893969076,0.111451985063599,0.152369877545706,0.148280056464332,0.143212037025835,0.129803898364151,0.121612606916099,0.128357531958191,0.122774992828233,0.13849184874947,0.1198695746864,0.137368702644364,0.155157594947757,0.108036642012835,0.138773363399323,0.117095652194764,0.133432710446409,0.151104905748185,0.133964488206148,0.141516939911693,0.113887245775608,0.143217956192269,0.130315516732392,0.138711458808496,0.143929712504997,0.150827534963199,0.154202594318597,0.157144292344378,0.133779759530285,0.11189897432937,0.111629549514796,0.147894936630893,0.131325805505976,0.15001239866284,0.137083277565621,0.143365267950134,0.148534332974244,0.146968259440039,0.100827755096261,0.138550045243781,0.121894879136575,0.149185216803986,0.158970668771911,0.143747493980066,0.117229667614296,0.157014940418107,0.133314819407876,0.150370675670375,0.12231976293421,0.129606818313796,0.150335214936131,0.156415462532248,0.124768598129566,0.126652038669037,0.14247365024341,0.141484227953013,0.153902694514423,0.131257290916896,0.111780250868514,0.109684935943058,0.124846071393719,0.11043135779356,0.141034246594365,0.124144735009027,0.119143014795736,0.155043498494727,0.148824921970696,0.136828724707877,0.119742438655883,0.150822151222673,0.134828741849074,0.141705231352043,0.152976986745734,0.136818814712979,0.12125731155784,0.134409466407329,0.140015726518389,0.148187995344699,0.138034324570294,0.151606843966437,0.140243137393073,0.118091511475948,0.145586898745023,0.156326169058391
"Signature 9",0.061979900808497,0.0687249047006768,0.0737468150432927,0.0687913623542523,0.0641015015268815,0.067481062684736,0.0632055835620622,0.0644256809057069,0.0640973538497042,0.0686629868394661,0.0665356656005542,0.0729961189631871,0.0650888907179266,0.064782323035637,0.0688052602224496,0.0651077819572622,0.0678201262566523,0.0669648859488968,0.0640990150332376,0.0673097376350976,0.0655077125115528,0.0639362152356211,0.0575774153313772,0.0525040970898792,0.0755910047985196,0.0676653248022984,0.0713038576862792,0.0549712230505056,0.068375261278439,0.0702652213092962,0.0707607594630396,0.0615317049271286,0.0687643986210203,0.0644986897620942,0.0659671423032548,0.0656346977936279,0.0637157269346515,0.0632982286170044,0.0745387111848319,0.0688973373826744,0.0691834153995362,0.0582105449813274,0.0587694549127002,0.067686145101516,0.0630652148334476,0.0638102174780022,0.0747371812918878,0.0699483159367507,0.0652866470131713,0.0638305308308195,0.0709652980191054,0.0618666032312396,0.0697394895460638,0.0638487633943238,0.073559707353469,0.0649629995907158,0.0591433093213889,0.0677364577964487,0.0669779736963697,0.0642726071259296,0.0667709333306251,0.0643920117526473,0.0685496238645979,0.075321558948159,0.0702420056529665,0.0679222014824899,0.0686979913725914,0.0674316326051723,0.0684608135684718,0.0787664688919505,0.0712717865198077,0.0647951832777605,0.0614557679783304,0.0686824207371256,0.0713007386637703,0.0706355044745132,0.0763056118784619,0.0703455514351013,0.0705100141686142,0.0697916166830476,0.0719752149136913,0.0714081948327936,0.0638906187883758,0.0702931664520647,0.0703080691145955,0.0662542428901603,0.0696623910644705,0.069286520206205,0.069187708756186,0.0716203566548362,0.0624469374742577,0.0669676188694632,0.0725505753172696,0.0663841515032511,0.067703887495738,0.0665049246118885,0.0716856295866751,0.0697492508137501,0.0660383411687402,0.0620404552905884
"Signature 10",0,0.000295220166821366,0,0,0.000672819486580415,0,0,0,0,0,0,0,0.000337637905103431,0.000428070063827428,0.00110999751495639,0,0,0,0.0012505120059907,0,0,0,0,0.000649485386767943,0,0.000168479127848074,0,0.00196700458147247,0.000685242271873704,0,0,0,0,0.000589573239709872,0,0,0,0,0,0,0,0,0,0.000597705370928001,0,0,0,0,0.00100765769124818,0.000282216075030848,0,0,0,0,0,0.000177487014536494,0,0.000683278426222436,0.000610708932436294,0.00138649742045115,0,0.000296879610878791,0,0,0.000122321370042198,6.5844349214089e-05,0,0.000811681076415088,0,0,0,0,0.000707145297391401,0,0,0,0,0,0,0,0,0,0,0,0,0.000121412161327755,0,0.000356108853669455,0.000258860151538291,0,0,0,0,0.000764171900311823,0.000698565510940973,0,0,0,0,0.00058702748213992
